organization_cd,org_cat,org_clas,organization_nm,status,dist_levl,bfy
P00HTRAV,P00R0000,F,"(192X,192M) PBS ADTRAV CHARGES (KC FINANCE USE ONLY)",,1,2015
P0425403,P0420000,S,"(192X,192M) MEMPHIS, TN SERVICE CENTER",,3,2015
P05D0010,P05D0000,R,"(192X,192M) ACCNT MGT & CONGRESSIONAL SUPPORT SERVICES BR",,2,2015
P05E0400,P05E0000,E,"(192X,192M) CHICAGOLAND & CUSTOMER PROJECTS CONTRACTING BR",,2,2015
P0938100,P0930000,P0930000,"(192X,192M,992X) SAN FRANCISCO DISTRICT",,3,2015
P0221100,P0221000,S,"(192X,192M) REPAIRS & ALTERTNS BR",,2,2015
P05K0001,P05K0000,E,"(192X,192M) ACQUISITION PROGRAMS DIVISION",,2,2015
P0724000,P0720000,M,"(192X,192M) ENVIRONMENTAL FIRE PROTECTION AND ENERGY",,2,2015
P11T0004,,T,"(192X,192M) PRICING EXECUTION AND TOOLS",,2,2015
P0440600,P0440000,C,"(192X,192M) ARTICTECTURAL BRANCH",,2,2015
P0221901,P0221000,S,"(192X,192M) HEALTH UNIT SAN JUAN  PR",,2,2015
P00H0131,P00H0000,PY,"(192X,192M) CO INFORMATION TECHNOLOGY",,1,2015
P1025121,P1020000,S,"(192X,192M) JUNEAU PMO",,3,2015
P04B0001,P04B0000,F,"(192X,192M) BUDGET & FINANCIAL MANAGEMENT DIVISION",,2,2015
P0525243,P0520000,S,"(192X,192M) MINNESOTA COURTHOUSE FIELD OFFICE",,3,2015
P0440400,P0440000,C,"(192X,192M) PROGRAM SUPPORT BRANCH",,2,2015
P0613002,P0610000,D,"(192X,192M) CLIENT SOLUTIONS STAFF",,2,2015
P0010070,P0010000,A,"(192X,192M) A-76 PERSONNEL",,1,2015
P00C0007,P00C0000,R,"(192X,192M) FTC DELEGATION",,1,2015
P09B0002,P09B0000,G,"(192X,192M, 192Z) EXECUTIVE PROGRAM MANAGEMENT BRANCH",,2,2015
P0200000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P00G44IS,P00G0000,G,(192X) ISS - SECURITY,,1,2015
P072E0D1,P0720000,P07XEXXX,"(192X,192M) DALLAS SERVICE CENTER",,3,2015
P082P000,P0820000,M,"(192X,192M) PORTFOLIO MGMT -RPM&S",,2,2015
P0722000,P0720000,M,"(192X,192M) BUILDING OPERATIONS SUPPORT",,2,2015
P1010009,P1010000,A,"(192X,192M) DISASTER EMGCY SUPT FEMA",,2,2015
P06T6001,P06T0000,M,"(192X,192M) SECURITY MANAGEMENT AND POLICY BRANCH",,2,2015
P00H0140,P00H0000,F,"(192X,192M) OPERATION DIVISION",,1,2015
P0970001,P0970000,R,"(192X,192M) DIRECTOR",,2,2015
P0100000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P082C000,P0820000,S,"(192X,192M) COLORADO SER CTR",,2,2015
P0120001,P0120000,S,"(192X,192M) PROP MGMT DIV DIR & STAFF",,2,2015
P0550001,P0550000,C,"(192X,192M) LAND PORTS OF ENTRY DIVISION",,2,2015
P09D0001,P09D0000,D,"(192X,192M) CUSTOMER SER DIV",,2,2015
P0440100,P0440000,C,"(192X,192M) CAPITAL PROJECT MANAGEMENT BRANCH",,3,2015
P0320001,P0320000,P0320000,"(192X,192M) DIRECTOR AND STAFF",,2,2015
P00D2200,P00D0000,D,"(192X,192M) CENTER FOR MARKET OFFERINGS",,1,2015
P0621401,P0620000,M,"(192X,192M) WEST LEASING SERVICES",,2,2015
P0525162,P0520000,S,"(192X,192M) CLEVELAND LEASING OFFICE",,3,2015
P00G4408,P00G0000,G,"(192X,192M) I3 CENTER",,1,2015
P03QC100,P03C0000,E,"192X,192M) ACQ MGMT DIV-CNTRCT OPS BR-MARYLAND SECTION",,2,2015
P00M3104,P00M0000,M,"(192X,192M) CHILDCARE - SE SUNBELT",,1,2015
P00C0023,P00C0000,R,"(192X,192M) DOD DELEGATION",,1,2015
P00G4108,P00G0000,G,"(192X,192M) 13 CENTER - ADMIN",,1,2015
P1038400,P1030000,P103XXXX,"(192X,192M,992X) FPS, SUPPORT BRANCH",,3,2015
P00S2000,P00S0000,A,"(192X,192M) REG STUDY & ADVCACY",,1,2015
P0360001,P0360001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 3",,2,2015
P0522002,P0522000,S,"(192X,192M) ILLINOIS TEAM",,2,2015
P092S420,P0920000,S,"(192X,192M) GOLDEN GATE FIELD OFFICE",,3,2015
P00G7000,P00G0000,G,"(192X,192M) ADMINISTRATIVE SUPPORT FUNCTION",,1,2015
P0625104,P0620000,S,"(192X,192M) KANSAS PRPTY MGMT CTR",,3,2015
P0744000,P0740001,C,"(192X,192M) ENGINEERING BRANCH",,2,2015
P00NH141,P00N0000,PY,"(192X,192M) OFC WORKPLACE INITIATIVES",,1,2015
P07T2000,P07T0000,T,"(192X,192M) REPAIR AND ALTERATIONS BRANCH",,2,2015
P03NH141,P03N0000,M,"(192X,192M) 0FC WORKPLACE INITIATIVES",,2,2015
P00G4404,P00G0000,G,(192X) PBS SHARED PROGRAM SUPPORT,,1,2015
P0540200,P0540000,C,"(192X,192M) PROJECT GROUP 2",,2,2015
P032A100,P0320000,S,"(192X,192M) NOR SVC CTR-EAST PHILA FIELD OFC",,3,2015
P1025300,P1020000,S,"(192X,192M) SEATTLE METROPOLIAN SERVICE CENTER",,3,2015
P00R0001,P00R0000,R,"(192X,192M) A C FOR OFFICE OF REAL ESTATE ACQUISITION",,1,2015
P02E0300,P02E0000,M,"(192X,192M) SAFETY AND ENVIRONMENTAL MGMT BR",,2,2015
P0270009,,R,"(192X,192M) APPRAISAL STAFF",,2,2015
P09B0003,P09B0000,G,"(192X,192M) PERF. MEASUREMENT AND WORKFORCE INITIATIVES",,2,2015
P0651200,P0650000,P0650000,"(192X,192M) FACILITIES BRANCH",,2,2015
P0240200,P0240000,C,"(192X,192M) PROF SVS BR",,2,2015
P0680001,P0680000,E,(192) ACQUISITION MANAGEMENT DIVISION,,2,2015
P00Q1200,P00Q0000,C,"(192X,192M) BORDER STATION DIVISION",,1,2015
P082C001,P0820000,S,"(192X,192M) COLORADO PROPERTY MGMT",,3,2015
P034F000,P0340000,C,"(192X,192M) PROJECT MANAGEMENT SERVICES OFFICE",,2,2015
P09B0001,P09B0000,G,"(192X,192M) PROGRAMS AND PROJECTS",,2,2015
P00Q1800,P00Q0000,C,"(192X,192M) STRATEGIC PROGRAMS AND MEASURES DIVISION",,1,2015
P0520X00,,S,"(192X,192M) BUILDINGS MGMT INTERNS",,2,2015
P0723000,P0720000,M,"(192X,192M) PROJECT MANAGEMENT FOR OPERATIONS",,2,2015
P0640001,P0640000,C,"(192X,192M) PROJECT MANAGEMENT DIVISION",,2,2015
P0270400,P0270000,R,"(192X,192M) BROOKLYN, QUEENS, LI BR",,2,2015
P0525170,P0520000,S,"(192X,192M) MICHIGAN SERVICE CENTER",,3,2015
P06M1002,P06M0000,G,"(192X,192M) HUM CAPITL ASSET MGT,STRATEGY&BUSINSS PLNNING BR",,2,2015
P00R2100,P00R0000,R,"(192X,192M) CENTER FOR STRATEGIC PLANNING/MEASURES",,1,2015
P09T0002,,T,"(192X,192M) APPRASIAL",,2,2015
P00M3103,P00M0000,M,"(192X,192M) CHILDCARE - MID ATLANTIC",,1,2015
P087D000,P0870000,S,"(192X,192M) DFC SER CTR-RED",,2,2015
